Entry	Gene names	Entry name	Cross-reference (GeneID)
A0A087WXM9	MEIKIN	MEIKN_HUMAN	728637
P54198	HIRA DGCR1 HIR TUPLE1	HIRA_HUMAN	7290
Q99687	MEIS3 MRG2	MEIS3_HUMAN	56917
Q8IVU1	IGDCC3 PUNC	IGDC3_HUMAN	9543
Q16082	HSPB2	HSPB2_HUMAN	3316
P08700	IL3	IL3_HUMAN	3562
P32927	CSF2RB IL3RB IL5RB	IL3RB_HUMAN	1439
P13232	IL7	IL7_HUMAN	3574
O43719	HTATSF1	HTSF1_HUMAN	27336
Q5JXM2	METTL24 C6orf186	MET24_HUMAN	728464
Q8TDB4	MGARP C4orf49 CESP1 HUMMR OSAP GS3582	HUMMR_HUMAN	84709
A0AUZ9	KANSL1L C2orf67	KAL1L_HUMAN	151050
Q86U10	ASPG C14orf76	LPP60_HUMAN	374569
Q9BQ90	KLHDC3 PEAS	KLDC3_HUMAN	116138
P22694	PRKACB	KAPCB_HUMAN	5567
O95757	HSPA4L APG1 OSP94	HS74L_HUMAN	22824
Q0D2K2	KLHL30	KLH30_HUMAN	377007
Q58FG0	HSP90AA5P HSP90AE	HS905_HUMAN	
Q96JA1	LRIG1 LIG1	LRIG1_HUMAN	26018
O94898	LRIG2 KIAA0806 LIG2	LRIG2_HUMAN	9860
Q9NYD6	HOXC10 HOX3I	HXC10_HUMAN	3226
Q9BW62	KATNAL1	KATL1_HUMAN	84056
Q495T6	MMEL1 MELL1 MMEL2 NEP2	MMEL1_HUMAN	79258
O95198	KLHL2	KLHL2_HUMAN	11275
Q9H204	MED28 EG1 FKSG20	MED28_HUMAN	80306
Q9P0W2	HMG20B BRAF35 HMGX2 HMGXB2 SMARCE1R	HM20B_HUMAN	10362
P06239	LCK	LCK_HUMAN	3932
O94819	KBTBD11 CMLAP KIAA0711 KLHDC7C	KBTBB_HUMAN	9920
P09238	MMP10 STMY2	MMP10_HUMAN	4319
P39900	MMP12 HME	MMP12_HUMAN	4321
P78368	CSNK1G2 CK1G2	KC1G2_HUMAN	1455
Q4G112	HSF5 HSTF5	HSF5_HUMAN	124535
A1A580	KRTAP23-1 KAP23.1	KR231_HUMAN	337963
Q9H116	GZF1 ZBTB23 ZNF336	GZF1_HUMAN	64412
Q8IUC2	KRTAP8-1 KAP8.1 KRTAP8.1	KRA81_HUMAN	337879
Q6L8G5	KRTAP5-10 KAP5.10 KRTAP5.10	KR510_HUMAN	387273
P78508	KCNJ10	KCJ10_HUMAN	3766
P0C5Y4	KRTAP1-4 KAP1.4 KRTAP1.4	KRA14_HUMAN	728255
Q5SZI1	LDLRAD2	LRAD2_HUMAN	401944
Q8TAF5	FLVCR1-DT FLVCR1-AS1 LQK1	LQK1_HUMAN	
Q9Y257	KCNK6 TOSS TWIK2	KCNK6_HUMAN	9424
A6NM62	LRRC53	LRC53_HUMAN	
Q8N309	LRRC43	LRC43_HUMAN	254050
O14896	IRF6	IRF6_HUMAN	3664
Q9H9H5	MAP6D1	MA6D1_HUMAN	79929
Q6PI73	LILRA6 ILT8	LIRA6_HUMAN	
A0A075B6R9	IGKV2D-24	KVD24_HUMAN	
Q9H213	MAGEH1 APR1	MAGH1_HUMAN	28986
Q14952	KIR2DS3 NKAT7	KI2S3_HUMAN	3808
O75019	LILRA1 LIR6	LIRA1_HUMAN	11024
Q6ZN17	LIN28B CSDD2	LN28B_HUMAN	389421
O60870	KIN BTCD KIN17	KIN17_HUMAN	22944
P55103	INHBC	INHBC_HUMAN	3626
Q3SYC2	MOGAT2 DC5 DGAT2L5	MOGT2_HUMAN	80168
Q8TEA1	NSUN6 NOPD1	NSUN6_HUMAN	221078
Q8NHV5	MOSMO ATTHOG C16orf52	MOSMO_HUMAN	730094
Q68CQ1	MROH7 C1orf175 HEATR8	MROH7_HUMAN	374977
A0A1B0GUY1	MARCOL	MRCOL_HUMAN	
Q9Y5S2	CDC42BPB KIAA1124	MRCKB_HUMAN	9578
Q8TDS7	MRGPRD MRGD	MRGRD_HUMAN	116512
Q8TCS8	PNPT1 PNPASE	PNPT1_HUMAN	87178
Q14CX7	NAA25 C12orf30 MDM20 NAP1	NAA25_HUMAN	80018
Q8N3Y7	SDR16C5 RDHE2	RDHE2_HUMAN	195814
Q92729	PTPRU FMI PCP2 PTPRO	PTPRU_HUMAN	10076
Q96PK6	RBM14 SIP	RBM14_HUMAN	100526737
P52756	RBM5 H37 LUCA15	RBM5_HUMAN	10181
Q99250	SCN2A NAC2 SCN2A1 SCN2A2	SCN2A_HUMAN	6326
Q8N228	SCML4	SCML4_HUMAN	256380
O75635	SERPINB7	SPB7_HUMAN	8710
Q9HAU4	SMURF2	SMUF2_HUMAN	64750
Q9H4L4	SENP3 SSP3 SUSP3	SENP3_HUMAN	26168
Q9C030	TRIM6 RNF89	TRIM6_HUMAN	117854
Q9C035	TRIM5 RNF88	TRIM5_HUMAN	85363
Q9C029	TRIM7 GNIP RNF90	TRIM7_HUMAN	81786
Q8N7C3	TRIML2 SPRYD6	TRIMM_HUMAN	205860
O75962	TRIO	TRIO_HUMAN	7204
Q5VUM1	SDHAF4 C6orf57	SDHF4_HUMAN	135154
P20132	SDS SDH	SDHL_HUMAN	10993
Q9BQ61	TRIR C19orf43	TRIR_HUMAN	79002
Q99619	SPSB2 GRCC9 SSB2	SPSB2_HUMAN	84727
Q99719	SEPTIN5 PNUTL1 SEPT5	SEPT5_HUMAN	5413
Q8NBV8	SYT8	SYT8_HUMAN	90019
Q86SS6	SYT9	SYT9_HUMAN	143425
Q8NBD8	TMEM229B C14orf83	T229B_HUMAN	161145
O15370	SOX12 SOX22	SOX12_HUMAN	6666
A6NH21	SERINC4	SERC4_HUMAN	619189
Q9Y651	SOX21 SOX25 SOXA	SOX21_HUMAN	11166
P57073	SOX8	SOX8_HUMAN	30812
Q9NUV7	SPTLC3 C20orf38 SPTLC2L	SPTC3_HUMAN	55304
Q13813	SPTAN1 NEAS SPTA2	SPTN1_HUMAN	6709
Q9H7L9	SUDS3 SAP45 SDS3	SDS3_HUMAN	64426
O43609	SPRY1	SPY1_HUMAN	10252
Q8WUJ0	STYX	STYX_HUMAN	6815
Q5MJ09	SPANXN3	SPXN3_HUMAN	139067
Q86VW0	SESTD1 SOLO	SESD1_HUMAN	91404
O15047	SETD1A KIAA0339 KMT2F SET1 SET1A	SET1A_HUMAN	9739
Q02763	TEK TIE2 VMCM VMCM1	TIE2_HUMAN	7010
Q99932	SPAG8	SPAG8_HUMAN	26206
O43557	TNFSF14 HVEML LIGHT UNQ391/PRO726	TNF14_HUMAN	8740
Q8IWB4	SPATA31A7 FAM75A4 FAM75A7 SPATA31A4	S31A7_HUMAN	26165
P78383	SLC35B1 UGTREL1	S35B1_HUMAN	10237
Q6ICL7	SLC35E4	S35E4_HUMAN	339665
Q5VX52	SPATA1	SPAT1_HUMAN	100505741
Q96GP6	SCARF2 SREC2 SREPCR	SREC2_HUMAN	91179
P48788	TNNI2	TNNI2_HUMAN	7136
P11831	SRF	SRF_HUMAN	6722
Q6YBV0	SLC36A4 PAT4	S36A4_HUMAN	120103
Q96QD8	SLC38A2 ATA2 KIAA1382 SAT2 SNAT2	S38A2_HUMAN	54407
P0DMW5	SMIM10L2B LINC00087 NCRNA00087	SIL2B_HUMAN	399668
Q9NP84	TNFRSF12A FN14	TNR12_HUMAN	51330
Q8NDV7	TNRC6A CAGH26 KIAA1460 TNRC6	TNR6A_HUMAN	27327
Q6NUT3	MFSD12 C19orf28	MFS12_HUMAN	126321
Q9H583	HEATR1 BAP28 UTP10	HEAT1_HUMAN	55127
P0DOX6		IGM_HUMAN	
Q8IU54	IFNL1 IL29 ZCYTO21	IFNL1_HUMAN	282618
Q9P055	JKAMP C14orf100 JAMP CDA06 HSPC213 HSPC327	JKAMP_HUMAN	51528
Q96JK4	HHIPL1 HHIP2 KIAA1822 UNQ9245/PRO34761	HIPL1_HUMAN	84439
Q9UBY9	HSPB7 CVHSP	HSPB7_HUMAN	27129
Q5I0G3	MDH1B	MDH1B_HUMAN	130752
Q86Y97	KMT5C SUV420H2 PP7130	KMT5C_HUMAN	84787
Q38SD2	LRRK1 KIAA1790	LRRK1_HUMAN	79705
Q8NA29	MFSD2A MFSD2 NLS1 HMFN0656 PP9177 UNQ300/PRO341	NLS1_HUMAN	84879
Q9UMR5	PPT2	PPT2_HUMAN	9374
P0CE72	OCM OCM1 OCMN	ONCO_HUMAN	654231
Q86W26	NLRP10 NALP10 NOD8 PYNOD	NAL10_HUMAN	338322
Q15738	NSDHL H105E3	NSDHL_HUMAN	50814
O00160	MYO1F	MYO1F_HUMAN	4542
P54727	RAD23B	RD23B_HUMAN	5887
P61578	ERVK-16	REC16_HUMAN	
Q7RTV5	PRXL2C AAED1 C9orf21	PXL2C_HUMAN	195827
Q56P42	PYDC2 POP2	PYDC2_HUMAN	152138
Q9Y3Y4	PYGO1	PYGO1_HUMAN	26108
P0C7P2	RFPL3S RFPL3-AS1	RFL3S_HUMAN	
Q8TAC1	RFESD	RFESD_HUMAN	317671
Q6ZTI6	RFLNA FAM101A	RFLA_HUMAN	100533183
Q13123	IK RED RER	RED_HUMAN	3550
P05451	REG1A PSPS PSPS1 REG	REG1A_HUMAN	5967
O14593	RFXANK ANKRA1 RFXB	RFXK_HUMAN	8625
Q8IUW5	RELL1 PSEC0162	RELL1_HUMAN	768211
Q6ZMN7	PDZRN4 LNX4 SEMCAP3L	PZRN4_HUMAN	29951
Q86YV0	RASAL3	RASL3_HUMAN	64926
P41220	RGS2 G0S8 GIG31	RGS2_HUMAN	5997
Q09028	RBBP4 RBAP48	RBBP4_HUMAN	5928
P25105	PTAFR PAFR	PTAFR_HUMAN	5724
O75884	RBBP9 BOG RBBP10	RBBP9_HUMAN	10741
P26373	RPL13 BBC1 OK/SW-cl.46	RL13_HUMAN	6137
Q03431	PTH1R PTHR PTHR1	PTH1R_HUMAN	5745
Q6VN20	RANBP10 KIAA1464	RBP10_HUMAN	57610
P98179	RBM3 RNPL	RBM3_HUMAN	5935
Q6XE24	RBMS3	RBMS3_HUMAN	27303
Q15005	SPCS2 KIAA0102 SPC25	SPCS2_HUMAN	9789
Q6IEE8	SLFN12L SLFN5	SN12L_HUMAN	100506736
Q99747	NAPG SNAPG	SNAG_HUMAN	8774
Q8NA61	SPERT CBY2	SPERT_HUMAN	220082
Q13573	SNW1 SKIIP SKIP	SNW1_HUMAN	22938
Q9Y5X0	SNX10	SNX10_HUMAN	29887
O75934	BCAS2 DAM1	SPF27_HUMAN	10286
Q9NZD8	SPG21 ACP33 BM-019 GL010	SPG21_HUMAN	51324
Q9NYA1	SPHK1 SK1 SPHK SPK	SPHK1_HUMAN	8877
O14717	TRDMT1 DNMT2	TRDMT_HUMAN	1787
Q14160	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	SCRIB_HUMAN	23513
O60493	SNX3	SNX3_HUMAN	8724
Q8N5J4	SPIC	SPIC_HUMAN	121599
Q96FV2	SCRN2	SCRN2_HUMAN	90507
Q9BRT9	GINS4 SLD5	SLD5_HUMAN	84296
Q8WWX9	SELENOM SELM	SELM_HUMAN	140606
G3V0H7	SLCO1B7 LST3 LST3TM12	SO1B7_HUMAN	338821
P07814	EPRS GLNS PARS QARS QPRS PIG32	SYEP_HUMAN	2058
P35610	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT	SOAT1_HUMAN	6646
Q3KNW5	SLC10A6 SOAT	SOAT_HUMAN	345274
Q68CJ6	NUGGC C8orf80 HMFN0672	SLIP_HUMAN	389643
Q6UDR6	SPINT4 C20orf137	SPIT4_HUMAN	391253
O00631	SLN	SARCO_HUMAN	6588
Q5GJ75	TNFAIP8L3 TIPE3	TP8L3_HUMAN	388121
Q9BZQ2	SHCBP1L C1orf14	SHP1L_HUMAN	81626
Q9P1P4	TAAR3P GPR57 TAAR3	TAAR3_HUMAN	
O75093	SLIT1 KIAA0813 MEGF4 SLIL1	SLIT1_HUMAN	6585
P02787	TF PRO1400	TRFE_HUMAN	7018
Q6P3W7	SCYL2 CVAK104 KIAA1360	SCYL2_HUMAN	55681
Q07283	TCHH THH THL TRHY	TRHY_HUMAN	7062
P00441	SOD1	SODC_HUMAN	6647
Q96F44	TRIM11 RNF92	TRI11_HUMAN	81559
P36406	TRIM23 ARD1 ARFD1 RNF46	TRI23_HUMAN	373
Q9H2V7	SPNS1 SPIN1 PP20300	SPNS1_HUMAN	83985
O43791	SPOP	SPOP_HUMAN	8405
Q96BQ3	TRIM43	TRI43_HUMAN	129868
Q9H8W5	TRIM45 RNF99	TRI45_HUMAN	80263
O95926	SYF2 CBPIN GCIPIP	SYF2_HUMAN	25949
Q86WT6	TRIM69 RNF36 HSD-34 HSD34	TRI69_HUMAN	140691
Q9H040	SPRTN C1orf124 DVC1 UNQ1880/PRO4323	SPRTN_HUMAN	83932
P82279	CRB1	CRUM1_HUMAN	23418
Q86UP0	CDH24 CDH11L UNQ2834/PRO34009	CAD24_HUMAN	64403
Q75VX8	GAREM2 FAM59B GAREML KIAA2038 HRIHFB2063	GARE2_HUMAN	150946
Q5F1R6	DNAJC21 DNAJA5	DJC21_HUMAN	134218
P08151	GLI1 GLI	GLI1_HUMAN	2735
Q15054	POLD3 KIAA0039	DPOD3_HUMAN	10714
Q9NR33	POLE4	DPOE4_HUMAN	56655
Q86YH6	PDSS2 C6orf210 DLP1	DLP1_HUMAN	57107
P19447	ERCC3 XPB XPBC	ERCC3_HUMAN	2071
P51674	GPM6A M6A	GPM6A_HUMAN	2823
P56178	DLX5	DLX5_HUMAN	1749
Q4G0M1	ERFE C1QTNF15 CTRP15 FAM132B	ERFE_HUMAN	151176
Q969X5	ERGIC1 ERGIC32 KIAA1181 HT034	ERGI1_HUMAN	57222
P46091	GPR1	GPR1_HUMAN	2825
Q9BQ95	ECSIT	ECSIT_HUMAN	51295
O60931	CTNS	CTNS_HUMAN	1497
P49917	LIG4	DNLI4_HUMAN	3981
P0DPD8	EEF1AKMT4-ECE2	EFCE2_HUMAN	110599583
Q9BSW2	CRACR2A EFCAB4B	EFC4B_HUMAN	84766
A8K855	EFCAB7 KIAA1799	EFCB7_HUMAN	84455
Q8N9W5	DNAAF3 C19orf51	DAAF3_HUMAN	352909
Q05D60	DEUP1 CCDC67	DEUP1_HUMAN	159989
Q9UIA0	CYTH4 CYT4 PSCD4	CYH4_HUMAN	27128
P59942	MCCD1	MCCD1_HUMAN	401250
Q8IYV9	IZUMO1	IZUM1_HUMAN	284359
Q13325	IFIT5 ISG58 RI58	IFIT5_HUMAN	24138
O60942	RNGTT CAP1A	MCE1_HUMAN	8732
Q96PC5	MIA2 CTAGE5 MEA11 MEA6 MGEA11 MGEA6	MIA2_HUMAN	4253
P01344	IGF2 PP1446	IGF2_HUMAN	3481
P13645	KRT10 KPP	K1C10_HUMAN	3858
P0DOX7		IGK_HUMAN	
Q14566	MCM6	MCM6_HUMAN	4175
Q9BRA0	NAA38 LSMD1 MAK31 PFAAP2	LSMD1_HUMAN	84316
Q8WYH8	ING5	ING5_HUMAN	84289
Q9BUB5	MKNK1 MNK1	MKNK1_HUMAN	8569
Q13064	MKRN3 D15S9 RNF63 ZNF127	MKRN3_HUMAN	7681
P21741	MDK MK1 NEGF2	MK_HUMAN	4192
Q14558	PRPSAP1	KPRA_HUMAN	5635
Q9NXC5	MIOS	MIO_HUMAN	54468
P78347	GTF2I BAP135 WBSCR6	GTF2I_HUMAN	2969
P51460	INSL3 RLF RLNL	INSL3_HUMAN	3640
Q9HCC9	ZFYVE28 KIAA1643 LST2	LST2_HUMAN	57732
Q9ULD6	INTU KIAA1284 PDZD6 PDZK6	INTU_HUMAN	27152
Q5TA45	INTS11 CPSF3L RC68	INT11_HUMAN	54973
O60551	NMT2	NMT2_HUMAN	9397
A7E2Y1	MYH7B KIAA1512	MYH7B_HUMAN	57644
Q7RTY1	SLC16A9 C10orf36 MCT9	MOT9_HUMAN	220963
Q9NQ55	PPAN BXDC3 SSF1	SSF1_HUMAN	56342
P0DTA3	SPDYE11	SPD11_HUMAN	
Q8IYR2	SMYD4 KIAA1936	SMYD4_HUMAN	114826
O14798	TNFRSF10C DCR1 LIT TRAILR3 TRID UNQ321/PRO366	TR10C_HUMAN	8794
O14763	TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9 UNQ160/PRO186	TR10B_HUMAN	8795
Q5TGI4	SAMD5 SAMDC1	SAMD5_HUMAN	389432
A6NDI0	TRIM49B RNF18B	TR49B_HUMAN	283116
Q8NG06	TRIM58	TRI58_HUMAN	25893
Q6ZTA4	TRIM67 TNL	TRI67_HUMAN	440730
Q86UV7	TRIM73 TRIM50B	TRI73_HUMAN	375593
P35270	SPR	SPRE_HUMAN	6697
Q9C037	TRIM4 RNF87	TRIM4_HUMAN	89122
Q5W111	SPRYD7 C13orf1 CLLD6	SPRY7_HUMAN	57213
Q8N4L1	TMEM151A TMEM151	T151A_HUMAN	256472
Q9UPU3	SORCS3 KIAA1059	SORC3_HUMAN	22986
Q96BD6	SPSB1 SSB1	SPSB1_HUMAN	80176
Q9NX61	TMEM161A UNQ582/PRO1152	T161A_HUMAN	54929
Q96A44	SPSB4 SSB4	SPSB4_HUMAN	92369
Q7Z6I5	SPATA12 SRG5	SPT12_HUMAN	353324
Q9BQ15	NABP2 OBFC2B SSB1 LP3587	SOSB1_HUMAN	79035
Q9BQG1	SYT3	SYT3_HUMAN	84258
Q9NXH9	TRMT1	TRM1_HUMAN	55621
Q5TG53	SERTAD4-AS1 C1orf133	SEAS1_HUMAN	
A2RTX5	TARSL2	SYTC2_HUMAN	123283
Q6UXD5	SEZ6L2 PSK UNQ1903/PRO4349	SE6L2_HUMAN	26470
Q537H7	SPATA45 C1orf227 HSD-44 HSD44	SPT45_HUMAN	149643
Q96N06	SPATA33 C16orf55	SPT33_HUMAN	124045
Q96FX7	TRMT61A C14orf172 TRM61	TRM61_HUMAN	115708
O15269	SPTLC1 LCB1	SPTC1_HUMAN	10558
A0A0U1RRN3	SPTY2D1OS SPTY2D1-AS1	SPTOS_HUMAN	
Q969W0	SPTSSA C14orf147 SSSPTA	SPTSA_HUMAN	171546
Q9Y6X1	SERP1 RAMP4	SERP1_HUMAN	27230
O43597	SPRY2	SPY2_HUMAN	10253
H3BV60	TGFBR3L	TGR3L_HUMAN	100507588
Q9UBP6	METTL1 C12orf1	TRMB_HUMAN	4234
Q6UXR4	SERPINA13P SERPINA13 UNQ6121/PRO20043	SPA13_HUMAN	
Q9UQB9	AURKC AIE2 AIK3 AIRK3 ARK3 STK13	AURKC_HUMAN	6795
P29279	CCN2 CTGF HCS24 IGFBP8	CCN2_HUMAN	1490
Q96MC4	CEP295NL KIAA1731NL	C295L_HUMAN	100653515
Q9NVJ2	ARL8B ARL10C GIE1	ARL8B_HUMAN	55207
P13945	ADRB3 ADRB3R B3AR	ADRB3_HUMAN	155
P51684	CCR6 CKRL3 CMKBR6 GPR29 STRL22	CCR6_HUMAN	1235
Q9BWP8	COLEC11 UNQ596/PRO1182	COL11_HUMAN	78989
A6NIR3	AGAP5 CTGLF2	AGAP5_HUMAN	729092
Q9H246	C1orf21 PIG13	CA021_HUMAN	81563
Q86X83	COMMD2 HSPC042 My004	COMD2_HUMAN	51122
Q86Y33	CDC20B G6VTS76519	CD20B_HUMAN	166979
Q8NFL0	B3GNT7	B3GN7_HUMAN	93010
P48960	CD97	CD97_HUMAN	976
A0A1B0GTH6	CSNKA2IP	CS2IP_HUMAN	
Q8NCR0	B3GALNT2	B3GL2_HUMAN	148789
Q66PJ3	ARL6IP4	AR6P4_HUMAN	51329
Q13137	CALCOCO2 NDP52	CACO2_HUMAN	10241
Q9Y5P2	CSAG2 TRAG3
Q6UUV7	CRTC3 TORC3	CRTC3_HUMAN	64784
P09326	CD48 BCM1 BLAST1	CD48_HUMAN	962
Q8WWN8	ARAP3 CENTD3	ARAP3_HUMAN	64411
Q16602	CALCRL CGRPR	CALRL_HUMAN	10203
Q92772	CDKL2	CDKL2_HUMAN	8999
Q8N1L9	BATF2	BATF2_HUMAN	116071
P38405	GNAL	GNAL_HUMAN	2774
O43451	MGAM MGA MGAML	MGA_HUMAN	8972
Q8N9B5	JMY	JMY_HUMAN	133746
Q6UW32	IGFL1 UNQ644/PRO1274	IGFL1_HUMAN	374918
Q9NXL9	MCM9 C6orf61 MCMDC1	MCM9_HUMAN	254394
P01859	IGHG2	IGHG2_HUMAN	
P22304	IDS SIDS	IDS_HUMAN	3423
O00462	MANBA MANB1	MANBA_HUMAN	4126
Q15726	KISS1 PP5098	KISS1_HUMAN	3814
Q5XKP0	MICOS13 C19orf70 MIC13 QIL1	MIC13_HUMAN	125988
Q8N5S9	CAMKK1 CAMKKA	KKCC1_HUMAN	84254
Q6UXV4	APOOL CXorf33 FAM121A MIC27 UNQ8193/PRO23204	MIC27_HUMAN	139322
Q8IYD2	KLHDC8A	KLD8A_HUMAN	55220
Q86WA8	LONP2 LONP	LONP2_HUMAN	83752
Q92896	GLG1 CFR1 ESL1 MG160	GSLG1_HUMAN	2734
Q92633	LPAR1 EDG2 LPA1	LPAR1_HUMAN	1902
Q9HBW0	LPAR2 EDG4 LPA2	LPAR2_HUMAN	9170
P43657	LPAR6 P2RY5	LPAR6_HUMAN	10161
Q9UBY5	LPAR3 EDG7 LPA3	LPAR3_HUMAN	23566
Q8NHM5	KDM2B CXXC2 FBL10 FBXL10 JHDM1B NDY1 PCCX2	KDM2B_HUMAN	84678
Q7LBC6	KDM3B C5orf7 JHDM2B JMJD1B KIAA1082	KDM3B_HUMAN	51780
P31025	LCN1 VEGP	LCN1_HUMAN	3933
Q6B0I6	KDM4D JHDM3D JMJD2D	KDM4D_HUMAN	55693
Q9BY66	KDM5D HY HYA JARID1D KIAA0234 SMCY	KDM5D_HUMAN	8284
A6NJW4	LRRC3C	LRR3C_HUMAN	100505591
Q6ZRR7	LRRC9	LRRC9_HUMAN	
O43679	LDB2 CLIM1	LDB2_HUMAN	9079
Q9Y2Q3	GSTK1 HDCMD47P	GSTK1_HUMAN	373156
Q969E1	LEAP2	LEAP2_HUMAN	116842
Q96PE3	INPP4A	INP4A_HUMAN	3631
Q86V48	LUZP1	LUZP1_HUMAN	7798
Q86Y78	LYPD6 UNQ3023/PRO9821	LYPD6_HUMAN	130574
Q9NWZ3	IRAK4	IRAK4_HUMAN	51135
A0A075B6K4	IGLV3-10	LV310_HUMAN	
Q5JU85	IQSEC2 KIAA0522	IQEC2_HUMAN	23096
Q6UXB3	LYPD2 LYPDC2 UNQ430/PRO788	LYPD2_HUMAN	137797
A8MYP8	ODF3B ODF3L3	ODF3B_HUMAN	440836
Q13370	PDE3B	PDE3B_HUMAN	5140
O95711	LY86 MD1	LY86_HUMAN	9450
Q9Y5J5	PHLDA3 TIH1	PHLA3_HUMAN	23612
Q16517	NNAT	NNAT_HUMAN	4826
P50897	PPT1 CLN1 PPT	PPT1_HUMAN	5538
Q96RV3	PCNX1 KIAA0805 KIAA0995 PCNX PCNXL1	PCX1_HUMAN	22990
O94856	NFASC KIAA0756	NFASC_HUMAN	23114
P25189	MPZ	MYP0_HUMAN	4359
Q9H4I3	TRABD TTG2 PP2447	TRABD_HUMAN	80305
Q13595	TRA2A	TRA2A_HUMAN	29896
Q9UJQ7	SCP2D1 C20orf79	SCP2D_HUMAN	140856
Q15628	TRADD	TRADD_HUMAN	8717
Q9BWF2	TRAIP RNF206 TRIP	TRAIP_HUMAN	10293
Q9Y675	SNURF	SNURF_HUMAN	8926
Q96I25	RBM17 SPF45	SPF45_HUMAN	84991
Q13596	SNX1	SNX1_HUMAN	6642
Q9Y343	SNX24 SBBI31 UNQ654/PRO1284	SNX24_HUMAN	28966
Q13061	TRDN	TRDN_HUMAN	10345
A0JD37	TRDV3 hDV103S1	TRDV3_HUMAN	
P34741	SDC2 HSPG1	SDC2_HUMAN	6383
Q8IVW8	SPNS2	SPNS2_HUMAN	124976
P04279	SEMG1 SEMG	SEMG1_HUMAN	6406
Q13103	SPP2 SPP24	SPP24_HUMAN	6694
Q9BVG3	TRIM62	TRI62_HUMAN	55223
Q5TF21	SOGA3 C6orf174	SOGA3_HUMAN	387104
Q6AZZ1	TRIM68 GC109 RNF137 SS56	TRI68_HUMAN	55128
Q13530	SERINC3 DIFF33 TDE1 SBBI99	SERC3_HUMAN	10955
P41225	SOX3	SOX3_HUMAN	6658
Q7KZ85	SUPT6H KIAA0162 SPT6H	SPT6H_HUMAN	6830
Q7Z2T5	TRMT1L C1orf25 TRM1L MSTP070	TRM1L_HUMAN	81627
P0C7V6	SUPT20HL2 FAM48B2	SP202_HUMAN	170067
O43610	SPRY3	SPY3_HUMAN	10251
P58004	SESN2 Hi95 SEST2	SESN2_HUMAN	83667
Q8TDD2	SP7 OSX	SP7_HUMAN	121340
P0CG40	SP9	SP9_HUMAN	100131390
Q96T68	SETDB2 C13orf4 CLLD8 KMT1F	SETB2_HUMAN	83852
Q8N4H0	SPATA6L C9orf68	SPA6L_HUMAN	55064
Q07617	SPAG1	SPAG1_HUMAN	6674
Q8WTS6	SETD7 KIAA1717 KMT7 SET7 SET9	SETD7_HUMAN	80854
Q7Z333	SETX ALS4 KIAA0625 SCAR1	SETX_HUMAN	23064
Q8WTU2	SSC4D SRCRB4D	SRB4D_HUMAN	136853
Q8IUI4	SNX29P2 RUNDC2C	S29P2_HUMAN	
Q15459	SF3A1 SAP114	SF3A1_HUMAN	10291
Q96PV0	SYNGAP1 KIAA1938	SYGP1_HUMAN	8831
Q96P63	SERPINB12	SPB12_HUMAN	89777
P02585	TNNC2	TNNC2_HUMAN	7125
P49590	HARS2 HARSL HARSR HO3	SYHM_HUMAN	23438
Q495N2	SLC36A3 PAT3 TRAMD2	S36A3_HUMAN	285641
L0R6Q1	SLC35A4	S35U4_HUMAN	
A6NLE4	SMIM23 C5orf50	SIM23_HUMAN	644994
O75509	TNFRSF21 DR6 UNQ437/PRO868	TNR21_HUMAN	27242
Q92504	SLC39A7 HKE4 RING5	S39A7_HUMAN	7922
Q15043	SLC39A14 KIAA0062 ZIP14	S39AE_HUMAN	23516
Q86XK3	SFR1 C10orf78 MEI5 MEIR5	SFR1_HUMAN	119392
Q6ZMH5	SLC39A5 ZIP5	S39A5_HUMAN	283375
Q96CB9	NSUN4	NSUN4_HUMAN	387338
Q12965	MYO1E MYO1C	MYO1E_HUMAN	4643
P42898	MTHFR	MTHR_HUMAN	4524
Q8NA58	PNLDC1	PNDC1_HUMAN	154197
Q9GZZ1	NAA50 MAK3 NAT13 NAT5	NAA50_HUMAN	80218
O15069	NACAD KIAA0363	NACAD_HUMAN	23148
P20941	PDC	PHOS_HUMAN	5132
Q96I34	PPP1R16A MYPT3	PP16A_HUMAN	84988
Q9NXH3	PPP1R14D GBPI	PP14D_HUMAN	54866
Q99453	PHOX2B PMX2B	PHX2B_HUMAN	8929
Q12796	PNRC1 PROL2	PNRC1_HUMAN	10957
Q02809	PLOD1 LLH PLOD	PLOD1_HUMAN	5351
Q9ULD2	MTUS1 ATBP ATIP GK1 KIAA1288 MTSG1	MTUS1_HUMAN	57509
Q92561	PHYHIP DYRK1AP3 KIAA0273	PHYIP_HUMAN	9796
Q8TBJ4	PLPPR1 LPPR1 PRG3	PLPR1_HUMAN	54886
Q9NRY7	PLSCR2	PLS2_HUMAN	57047
P09086	POU2F2 OCT2 OTF2	PO2F2_HUMAN	5452
Q96GM1	PLPPR2 LPPR2 PRG4	PLPR2_HUMAN	64748
Q86WG5	SBF2 CMT4B2 KIAA1766 MTMR13	MTMRD_HUMAN	81846
Q6W4X9	MUC6	MUC6_HUMAN	4588
A0PG75	PLSCR5	PLS5_HUMAN	389158
Q5UE93	PIK3R6 C17orf38	PI3R6_HUMAN	146850
