Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
P24530	EDNRB	DISEASE: Waardenburg syndrome 4A (WS4A) [MIM:277580]: A disorder characterized by the association of Waardenburg features (depigmentation and deafness) with the absence of enteric ganglia in the distal part of the intestine (Hirschsprung disease). {ECO:0000269|PubMed:12189494, ECO:0000269|PubMed:8634719}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Hirschsprung disease 2 (HSCR2) [MIM:600155]: A disorder of neural crest development characterized by absence of enteric ganglia along a variable length of the intestine. It is the most common cause of congenital intestinal obstruction. Early symptoms range from complete acute neonatal obstruction, characterized by vomiting, abdominal distention and failure to pass stool, to chronic constipation in the older child. {ECO:0000269|PubMed:8001158, ECO:0000269|PubMed:8630503, ECO:0000269|PubMed:8852660}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: ABCD syndrome (ABCDS) [MIM:600501]: An autosomal recessive syndrome characterized by albinism, black lock at temporal occipital region, bilateral deafness, aganglionosis of the large intestine and total absence of neurocytes and nerve fibers in the small intestine. {ECO:0000269|PubMed:11891690}. Note=The disease is caused by mutations affecting the gene represented in this entry.	388;897;
Q3B7T1	EDRF1		
Q15075	EEA1		
O75530	EED		
P68104	EEF1A1		
Q5VTE0	EEF1A1P5		
Q05639	EEF1A2	DISEASE: Epileptic encephalopathy, early infantile, 33 (EIEE33) [MIM:616409]: A form of epileptic encephalopathy, a heterogeneous group of severe childhood onset epilepsies characterized by refractory seizures, neurodevelopmental impairment, and poor prognosis. Development is normal prior to seizure onset, after which cognitive and motor delays become apparent. {ECO:0000269|PubMed:23033978, ECO:0000269|PubMed:23647072}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Mental retardation, autosomal dominant 38 (MRD38) [MIM:616393]: A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. MRD38 common features are severe intellectual disability, autistic behavior, absent speech, neonatal hypotonia, epilepsy and progressive microcephaly. {ECO:0000269|PubMed:24697219}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
P24534	EEF1B2		
P29692	EEF1D		
Q658K8	EEF1DP3		
O43324	EEF1E1		
P26641	EEF1G		
P13639	EEF2	DISEASE: Spinocerebellar ataxia 26 (SCA26) [MIM:609306]: A form of spinocerebellar ataxia, a clinically and genetically heterogeneous group of cerebellar disorders. Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements, due to degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. {ECO:0000269|PubMed:23001565}. Note=The disease is caused by mutations affecting the gene represented in this entry.	101112;
O00418	EEF2K		
Q96G04	EEF2KMT		
P57772	EEFSEC		
Q6NXP0	EFCAB12		
Q8IY85	EFCAB13		
Q12805	EFEMP1	DISEASE: Doyne honeycomb retinal dystrophy (DHRD) [MIM:126600]: Autosomal dominant disease characterized by yellow-white deposits known as drusen that accumulate beneath the retinal pigment epithelium. {ECO:0000269|PubMed:10369267, ECO:0000269|PubMed:11384588}. Note=The disease is caused by mutations affecting the gene represented in this entry.	75376;
O95967	EFEMP2	DISEASE: Cutis laxa, autosomal recessive, 1B (ARCL1B) [MIM:614437]: A connective tissue disorder characterized by loose, hyperextensible skin with decreased resilience and elasticity leading to a premature aged appearance. Face, hands, feet, joints, and torso may be differentially affected. The clinical spectrum of autosomal recessive cutis laxa is highly heterogeneous with respect to organ involvement and severity. ARCL1B features include emphysema, lethal pulmonary artery occlusion, aortic aneurysm, cardiopulmonary insufficiency, birth fractures, arachnodactyly, and fragility of blood vessels. {ECO:0000269|PubMed:16685658, ECO:0000269|PubMed:17937443, ECO:0000269|PubMed:19664000}. Note=The disease is caused by mutations affecting the gene represented in this entry.	90349;314718;
Q5JVL4	EFHC1	DISEASE: Juvenile myoclonic epilepsy 1 (EJM1) [MIM:254770]: A subtype of idiopathic generalized epilepsy. Patients have afebrile seizures only, with onset in adolescence (rather than in childhood) and myoclonic jerks which usually occur after awakening and are triggered by sleep deprivation and fatigue. {ECO:0000269|PubMed:15258581, ECO:0000269|PubMed:17634063, ECO:0000269|PubMed:22690745, ECO:0000269|PubMed:22727576}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Juvenile absence epilepsy 1 (JAE1) [MIM:607631]: A subtype of idiopathic generalized epilepsy characterized by onset occurring around puberty, absence seizures, generalized tonic-clonic seizures (GTCS), GTCS on awakening, and myoclonic seizures. {ECO:0000305|PubMed:17159113}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Note=Mutation Leu-229 may be a cause of intractable epilepsy of infancy. Affected individuals have seizures of multiple type, manifested as tonic, clonic, and myoclonic seizures in the neonatal period, and as tonic seizures activated frequently by sleep, and repeated frequent myoclonic seizures in later infancy. The seizures are unresponsive to numerous antiepileptic drugs, and infants die in the first years of life. Although heterozygosity for Leu-229 has been associated with relatively benign forms of epilepsy in adolescence, homozygosity for the same mutation has much more severe consequences. {ECO:0000269|PubMed:22690745}.	1941;307;
Q5JST6	EFHC2		
Q9BUP0	EFHD1		
Q7Z2Z2	EFL1		
P20827	EFNA1		
O43921	EFNA2		
P52797	EFNA3		
P52798	EFNA4		
P52803	EFNA5		
P98172	EFNB1	DISEASE: Craniofrontonasal syndrome (CFNS) [MIM:304110]: X-linked inherited syndrome characterized by hypertelorism, coronal synostosis with brachycephaly, downslanting palpebral fissures, clefting of the nasal tip, joint anomalies, longitudinally grooved fingernails and other digital anomalies. {ECO:0000269|PubMed:15124102, ECO:0000269|PubMed:15166289, ECO:0000269|PubMed:15959873}. Note=The disease is caused by mutations affecting the gene represented in this entry.	1520;
P52799	EFNB2		
Q15768	EFNB3		
Q14156	EFR3A	DISEASE: Note=Genetic variations in EFR3A may be associated with susceptibility to autism. {ECO:0000305|PubMed:24860643}.	
Q9Y2G0	EFR3B		
O43281	EFS		
Q15029	EFTUD2	DISEASE: Mandibulofacial dysostosis with microcephaly (MFDM) [MIM:610536]: A rare syndrome characterized by progressive microcephaly, midface and malar hypoplasia, micrognathia, microtia, dysplastic ears, preauricular skin tags, significant developmental delay, and speech delay. Many patients have major sequelae, including choanal atresia that results in respiratory difficulties, conductive hearing loss, and cleft palate. {ECO:0000269|PubMed:22305528}. Note=The disease is caused by mutations affecting the gene represented in this entry.	79113;
P01133	EGF	DISEASE: Hypomagnesemia 4 (HOMG4) [MIM:611718]: A disorder characterized by massive renal hypomagnesemia and normal levels of serum calcium and calcium excretion. Clinical features include seizures, mild-to moderate psychomotor retardation, and brisk tendon reflexes. {ECO:0000269|PubMed:17671655}. Note=The disease is caused by mutations affecting the gene represented in this entry.	210159;34527;
Q9UHF1	EGFL7		
P00533	EGFR	DISEASE: Lung cancer (LNCR) [MIM:211980]: A common malignancy affecting tissues of the lung. The most common form of lung cancer is non-small cell lung cancer (NSCLC) that can be divided into 3 major histologic subtypes: squamous cell carcinoma, adenocarcinoma, and large cell lung cancer. NSCLC is often diagnosed at an advanced stage and has a poor prognosis. {ECO:0000269|PubMed:15118125, ECO:0000269|PubMed:16533793, ECO:0000269|PubMed:16672372}. Note=The gene represented in this entry is involved in disease pathogenesis.; DISEASE: Inflammatory skin and bowel disease, neonatal, 2 (NISBD2) [MIM:616069]: A disorder characterized by inflammatory features with neonatal onset, involving the skin, hair, and gut. The skin lesions involve perioral and perianal erythema, psoriasiform erythroderma, with flares of erythema, scaling, and widespread pustules. Gastrointestinal symptoms include malabsorptive diarrhea that is exacerbated by intercurrent gastrointestinal infections. The hair is short or broken, and the eyelashes and eyebrows are wiry and disorganized. {ECO:0000269|PubMed:24691054}. Note=The disease is caused by mutations affecting the gene represented in this entry.	251579;251576;294023;357191;
Q9GZT9	EGLN1	DISEASE: Erythrocytosis, familial, 3 (ECYT3) [MIM:609820]: An autosomal dominant disorder characterized by increased serum red blood cell mass, elevated serum hemoglobin and hematocrit, and normal serum erythropoietin levels. {ECO:0000269|PubMed:16407130, ECO:0000269|PubMed:17579185}. Note=The disease is caused by mutations affecting the gene represented in this entry.	247511;
Q96KS0	EGLN2		
Q9H6Z9	EGLN3		
P11161	EGR2	DISEASE: Neuropathy, congenital hypomyelinating or amyelinating (CHN) [MIM:605253]: A severe degenerating neuropathy that results from a congenital impairment in myelin formation. It is clinically characterized by early onset of hypotonia, areflexia, distal muscle weakness, and very slow nerve conduction velocities (as low as 3m/s). Some patients manifest nearly complete absence of spontaneous limb movements, respiratory distress at birth, and complete absence of myelin shown by electron microscopy of peripheral nerves. Inheritance can be autosomal dominant or recessive. {ECO:0000269|PubMed:22522483, ECO:0000269|PubMed:9537424}. Note=The disease is caused by mutations affecting the gene represented in this entry. Patients affected by the amyelinating form carry a causative, homozygous deletion encompassing a myelin-specific enhancer of EGR2 (PubMed:22522483). {ECO:0000269|PubMed:22522483}.; DISEASE: Charcot-Marie-Tooth disease 1D (CMT1D) [MIM:607678]: A dominant demyelinating form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies (designated CMT1 when they are dominantly inherited) and primary peripheral axonal neuropathies (CMT2). Demyelinating neuropathies are characterized by severely reduced nerve conduction velocities (less than 38 m/sec), segmental demyelination and remyelination with onion bulb formations on nerve biopsy, slowly progressive distal muscle atrophy and weakness, absent deep tendon reflexes, and hollow feet. {ECO:0000269|PubMed:10502832, ECO:0000269|PubMed:10762521, ECO:0000269|PubMed:11239949, ECO:0000269|PubMed:12736090, ECO:0000269|PubMed:15241803, ECO:0000269|PubMed:15947997, ECO:0000269|PubMed:9537424, ECO:0000269|Ref.15}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Dejerine-Sottas syndrome (DSS) [MIM:145900]: A severe degenerating neuropathy of the demyelinating Charcot-Marie-Tooth disease category, with onset by age 2 years. Characterized by motor and sensory neuropathy with very slow nerve conduction velocities, increased cerebrospinal fluid protein concentrations, hypertrophic nerve changes, delayed age of walking as well as areflexia. There are both autosomal dominant and autosomal recessive forms of Dejerine-Sottas syndrome. {ECO:0000269|PubMed:10371530}. Note=The disease is caused by mutations affecting the gene represented in this entry.	101084;99951;64748;
Q06889	EGR3		
Q8NDI1	EHBP1	DISEASE: Prostate cancer, hereditary, 12 (HPC12) [MIM:611868]: A condition associated with familial predisposition to cancer of the prostate. Most prostate cancers are adenocarcinomas that develop in the acini of the prostatic ducts. Other rare histopathologic types of prostate cancer that occur in approximately 5% of patients include small cell carcinoma, mucinous carcinoma, prostatic ductal carcinoma, transitional cell carcinoma, squamous cell carcinoma, basal cell carcinoma, adenoid cystic carcinoma (basaloid), signet-ring cell carcinoma and neuroendocrine carcinoma. {ECO:0000269|PubMed:18264098}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	
Q8N3D4	EHBP1L1		
Q9H4M9	EHD1		
Q9NZN4	EHD2		
Q9NZN3	EHD2,EHD3		
Q9H223	EHD4		
Q9NZC4	EHF		
Q08426	EHHADH	DISEASE: Fanconi renotubular syndrome 3 (FRTS3) [MIM:615605]: A disease due to a generalized dysfunction of the proximal kidney tubule resulting in decreased solute and water reabsorption. Patients have polydipsia and polyuria with phosphaturia, glycosuria and aminoaciduria. They may develop hypophosphatemic rickets or osteomalacia, acidosis and a tendency toward dehydration. Some eventually develop renal insufficiency. {ECO:0000269|PubMed:24401050}. Note=The disease is caused by mutations affecting the gene represented in this entry.	300;3337;
Q9H9B1	EHMT1	DISEASE: Kleefstra syndrome (KLESTS) [MIM:610253]: A syndrome characterized by severe mental retardation, hypotonia, brachy(micro)cephaly, and facial dysmorphisms. Additionally, congenital heart defects, urogenital defects, epilepsy and behavioral problems are frequently observed. {ECO:0000269|PubMed:16826528, ECO:0000269|PubMed:19264732}. Note=The disease is caused by mutations affecting the gene represented in this entry (PubMed:16826528). The syndrome can be either caused by intragenic EHMT1 mutations leading to haploinsufficiency of the EHMT1 gene or by a submicroscopic 9q34.3 deletion. Although it is not known if and to what extent other genes in the 9q34.3 region contribute to the syndrome observed in deletion cases, EHMT1 seems to be the major determinant of the core disease phenotype (PubMed:19264732). {ECO:0000269|PubMed:16826528, ECO:0000269|PubMed:19264732}.	96147;261652;
Q96KQ7	EHMT2		
O14681	EI24	DISEASE: Note=EI24 is on a chromosomal region frequently deleted in solid tumors, and it is thought to play a role in breast and cervical cancer. Particularly, expression analysis of EI24 in cancerous tissues shows that EI24 loss is associated with tumor invasiveness.	
Q9Y6B2	EID1		
Q8N6I1	EID2		
Q8N140	EID3		
Q96D98	EID3		
P41567	EIF1		
Q8N9N8	EIF1AD		
P47813	EIF1AX		
O14602	EIF1AY		
O60739	EIF1B		
Q9BY44	EIF2A		
Q9BQI3	EIF2AK1		
P19525	EIF2AK2		
Q9NZJ5	EIF2AK3	DISEASE: Wolcott-Rallison syndrome (WRS) [MIM:226980]: A rare autosomal recessive disorder, characterized by permanent neonatal or early infancy insulin-dependent diabetes and, at a later age, epiphyseal dysplasia, osteoporosis, growth retardation and other multisystem manifestations, such as hepatic and renal dysfunctions, mental retardation and cardiovascular abnormalities. {ECO:0000269|PubMed:10932183}. Note=The disease is caused by mutations affecting the gene represented in this entry.	1667;
Q9P2K8	EIF2AK4	DISEASE: Pulmonary venoocclusive disease 2, autosomal recessive (PVOD2) [MIM:234810]: A disease characterized by widespread fibrous obstruction and intimal thickening of septal veins and preseptal venules, a low diffusing capacity for carbon monoxide, occult alveolar hemorrhage, and nodular ground-glass opacities, septal lines and lymph node enlargement showed by high-resolution computed tomography of the chest. It is frequently associated with pulmonary capillary dilatation and proliferation, and is a rare and devastating cause of pulmonary hypertension. {ECO:0000269|PubMed:24135949, ECO:0000269|PubMed:24292273}. Note=The disease is caused by mutations affecting the gene represented in this entry.	199241;31837;
Q14232	EIF2B1	DISEASE: Leukodystrophy with vanishing white matter (VWM) [MIM:603896]: A leukodystrophy that occurs mainly in children. Neurological signs include progressive cerebellar ataxia, spasticity, inconstant optic atrophy and relatively preserved mental abilities. The disease is chronic-progressive with, in most individuals, additional episodes of rapid deterioration following febrile infections or minor head trauma. While childhood onset is the most common form of the disorder, some severe forms are apparent at birth. A severe, early-onset form seen among the Cree and Chippewayan populations of Quebec and Manitoba is called Cree leukoencephalopathy. Milder forms may not become evident until adolescence or adulthood. Some females with milder forms of the disease who survive to adolescence exhibit ovarian dysfunction. This variant of the disorder is called ovarioleukodystrophy. {ECO:0000269|PubMed:11835386, ECO:0000269|PubMed:15776425}. Note=The disease is caused by mutations affecting the gene represented in this entry.	157713;99854;157719;157716;99853;
P49770	EIF2B2	DISEASE: Leukodystrophy with vanishing white matter (VWM) [MIM:603896]: A leukodystrophy that occurs mainly in children. Neurological signs include progressive cerebellar ataxia, spasticity, inconstant optic atrophy and relatively preserved mental abilities. The disease is chronic-progressive with, in most individuals, additional episodes of rapid deterioration following febrile infections or minor head trauma. While childhood onset is the most common form of the disorder, some severe forms are apparent at birth. A severe, early-onset form seen among the Cree and Chippewayan populations of Quebec and Manitoba is called Cree leukoencephalopathy. Milder forms may not become evident until adolescence or adulthood. Some females with milder forms of the disease who survive to adolescence exhibit ovarian dysfunction. This variant of the disorder is called ovarioleukodystrophy. {ECO:0000269|PubMed:11704758, ECO:0000269|PubMed:12707859, ECO:0000269|PubMed:15776425, ECO:0000269|PubMed:21484434, ECO:0000269|PubMed:22285377, ECO:0000269|PubMed:22729508}. Note=The disease is caused by mutations affecting the gene represented in this entry.	157713;99854;157719;157716;99853;
Q9NR50	EIF2B3	DISEASE: Leukodystrophy with vanishing white matter (VWM) [MIM:603896]: A leukodystrophy that occurs mainly in children. Neurological signs include progressive cerebellar ataxia, spasticity, inconstant optic atrophy and relatively preserved mental abilities. The disease is chronic-progressive with, in most individuals, additional episodes of rapid deterioration following febrile infections or minor head trauma. While childhood onset is the most common form of the disorder, some severe forms are apparent at birth. A severe, early-onset form seen among the Cree and Chippewayan populations of Quebec and Manitoba is called Cree leukoencephalopathy. Milder forms may not become evident until adolescence or adulthood. Some females with milder forms of the disease who survive to adolescence exhibit ovarian dysfunction. This variant of the disorder is called ovarioleukodystrophy. {ECO:0000269|PubMed:11835386, ECO:0000269|PubMed:19158808, ECO:0000269|PubMed:21484434}. Note=The disease is caused by mutations affecting the gene represented in this entry.	157713;99854;157719;157716;99853;
Q9UI10	EIF2B4	DISEASE: Leukodystrophy with vanishing white matter (VWM) [MIM:603896]: A leukodystrophy that occurs mainly in children. Neurological signs include progressive cerebellar ataxia, spasticity, inconstant optic atrophy and relatively preserved mental abilities. The disease is chronic-progressive with, in most individuals, additional episodes of rapid deterioration following febrile infections or minor head trauma. While childhood onset is the most common form of the disorder, some severe forms are apparent at birth. A severe, early-onset form seen among the Cree and Chippewayan populations of Quebec and Manitoba is called Cree leukoencephalopathy. Milder forms may not become evident until adolescence or adulthood. Some females with milder forms of the disease who survive to adolescence exhibit ovarian dysfunction. This variant of the disorder is called ovarioleukodystrophy. {ECO:0000269|PubMed:11835386, ECO:0000269|PubMed:12707859, ECO:0000269|PubMed:15776425}. Note=The disease is caused by mutations affecting the gene represented in this entry.	157713;99854;157719;157716;99853;
Q13144	EIF2B5	DISEASE: Leukodystrophy with vanishing white matter (VWM) [MIM:603896]: A leukodystrophy that occurs mainly in children. Neurological signs include progressive cerebellar ataxia, spasticity, inconstant optic atrophy and relatively preserved mental abilities. The disease is chronic-progressive with, in most individuals, additional episodes of rapid deterioration following febrile infections or minor head trauma. While childhood onset is the most common form of the disorder, some severe forms are apparent at birth. A severe, early-onset form seen among the Cree and Chippewayan populations of Quebec and Manitoba is called Cree leukoencephalopathy. Milder forms may not become evident until adolescence or adulthood. Some females with milder forms of the disease who survive to adolescence exhibit ovarian dysfunction. This variant of the disorder is called ovarioleukodystrophy. {ECO:0000269|PubMed:11704758, ECO:0000269|PubMed:12325082, ECO:0000269|PubMed:12707859, ECO:0000269|PubMed:15776425, ECO:0000269|PubMed:19158808, ECO:0000269|PubMed:21484434}. Note=The disease is caused by mutations affecting the gene represented in this entry.	157713;99854;157719;157716;99853;
P41214	EIF2D		
P05198	EIF2A,EIF2S1		
P20042	EIF2S2		
P41091	EIF2S3	DISEASE: Mental retardation, X-linked, syndromic, Borck type (MRXSBRK) [MIM:300987]: A form of mental retardation, a disorder characterized by significantly below average general intellectual functioning associated with impairments in adaptive behavior and manifested during the developmental period. MRXSBRK patients manifest global developmental delay, short stature, microcephaly, poor or absent speech, and dysmorphic facial features. Additional features are growth hormone deficiency, hypogonadism, and spasticity resulting in difficulty walking or inability to walk. Thin corpus callosum and reduced white matter volume are observed on brain imaging. Inheritance is X-linked recessive. {ECO:0000269|PubMed:23063529, ECO:0000269|PubMed:27333055}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
Q2VIR3	EIF2S3L		
Q14152	EIF3A		
P55884	EIF3B		
Q99613	EIF3C		
B5ME19	EIF3CL		
O15371	EIF3D	DISEASE: Note=Defects in EIF3D are associated with some cancers, such as prostate, breast and colon cancers. Disease susceptibility may be associated with variations affecting the gene represented in this entry. Down-regulation inhibits proliferation of cancers (PubMed:25370813, PubMed:25322666, PubMed:25682860, PubMed:26617750, PubMed:26008152, PubMed:26036682, PubMed:27035563). {ECO:0000269|PubMed:25322666, ECO:0000269|PubMed:25370813, ECO:0000269|PubMed:25682860, ECO:0000269|PubMed:26008152, ECO:0000269|PubMed:26036682, ECO:0000269|PubMed:26617750, ECO:0000269|PubMed:27035563}.	
P60228	EIF3E		
O00303	EIF3F		
O75821	EIF3G		
O15372	EIF3H		
Q13347	EIF3I		
O75822	EIF3J		
Q9UBQ5	EIF3K		
Q9Y262	EIF3L		
Q7L2H7	EIF3M		
P60842	EIF4A1		
Q14240	EIF4A2		
P38919	EIF4A3	DISEASE: Richieri-Costa-Pereira syndrome (RCPS) [MIM:268305]: A syndrome characterized by a unique pattern of anomalies consisting of microstomia, micrognathia, abnormal fusion of mandible, cleft palate/Robin sequence, absence of central lower incisors, minor ears anomalies, hypoplastic first ray, abnormal tibiae, hypoplastic halluces, and clubfeet. Learning disability is also a common finding. {ECO:0000269|PubMed:24360810}. Note=The disease is caused by mutations affecting the gene represented in this entry. EIF4A3 mutations resulting in Richieri-Costa-Pereira syndrome include a repeat expansion of 18 or 20 nucleotides in the 5' untranslated region. Affected individuals have 14 to 16 repeats, while healthy individuals have 3 to 12 repeats (PubMed:24360810). {ECO:0000269|PubMed:24360810}.	3102;
P23588	EIF4B		
P06730	EIF4E	DISEASE: Autism 19 (AUTS19) [MIM:615091]: A complex multifactorial, pervasive developmental disorder characterized by impairments in reciprocal social interaction and communication, restricted and stereotyped patterns of interests and activities, and the presence of developmental abnormalities by 3 years of age. Most individuals with autism also manifest moderate mental retardation. {ECO:0000269|PubMed:19556253}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry. A heterozygous single-nucleotide insertion has been found in families affected by autism. The variant results in increased promoter activity and is involved in disease pathogenesis through EIF4E deregulation (PubMed:19556253). {ECO:0000269|PubMed:19556253}.; DISEASE: Note=A chromosomal aberration involving EIF4E has been found in a patient with classic autism. Translocation t(45)(q23q31.3). The breakpoint on chromosome 4 is located 56 kb downstream of EIF4E (PubMed:19556253). {ECO:0000269|PubMed:19556253}.	106;
O60573	EIF4E2		
Q8N5X7	EIF4E3		
Q13541	EIF4EBP1		
Q13542	EIF4EBP2		
O60516	EIF4EBP3		
Q9NRA8	EIF4ENIF1		619;
Q04637	EIF4G1	DISEASE: Parkinson disease 18 (PARK18) [MIM:614251]: An autosomal dominant, late-onset form of Parkinson disease. Parkinson disease is a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. {ECO:0000269|PubMed:21907011}. Note=The disease is caused by mutations affecting the gene represented in this entry.	2828;
P78344	EIF4G2		
O43432	EIF4G3		
Q15056	EIF4H	DISEASE: Note=EIF4H is located in the Williams-Beuren syndrome (WBS) critical region. WBS results from a hemizygous deletion of several genes on chromosome 7q11.23, thought to arise as a consequence of unequal crossing over between highly homologous low-copy repeat sequences flanking the deleted region. Haploinsufficiency of EIF4H may be the cause of certain cardiovascular and musculo-skeletal abnormalities observed in the disease. {ECO:0000269|PubMed:8812460}.	
P55010	EIF5		
P63241	EIF5A		
Q9GZV4	EIF5A2		
O60841	EIF5B		
P56537	EIF3A,EIF6		
Q9H777	ELAC1		
Q9BQ52	ELAC2	DISEASE: Prostate cancer, hereditary, 2 (HPC2) [MIM:614731]: A condition associated with familial predisposition to cancer of the prostate. Most prostate cancers are adenocarcinomas that develop in the acini of the prostatic ducts. Other rare histopathologic types of prostate cancer that occur in approximately 5% of patients include small cell carcinoma, mucinous carcinoma, prostatic ductal carcinoma, transitional cell carcinoma, squamous cell carcinoma, basal cell carcinoma, adenoid cystic carcinoma (basaloid), signet-ring cell carcinoma and neuroendocrine carcinoma. {ECO:0000269|PubMed:10986046, ECO:0000269|PubMed:11175785, ECO:0000269|PubMed:11507049, ECO:0000269|PubMed:11522646, ECO:0000269|PubMed:12515253, ECO:0000269|PubMed:12522685, ECO:0000269|PubMed:12783937, ECO:0000269|PubMed:15489334, ECO:0000269|PubMed:18987736, ECO:0000269|Ref.3}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Combined oxidative phosphorylation deficiency 17 (COXPD17) [MIM:615440]: An autosomal recessive disorder of mitochondrial dysfunction characterized by onset of severe hypertrophic cardiomyopathy in the first year of life. Other features include hypotonia, poor growth, lactic acidosis, and failure to thrive. The disorder may be fatal in early childhood. {ECO:0000269|PubMed:23849775}. Note=The disease is caused by mutations affecting the gene represented in this entry.	369913;1331;
P08246	ELANE	DISEASE: Cyclic haematopoiesis (CH) [MIM:162800]: Autosomal dominant disease in which blood-cell production from the bone marrow oscillates with 21-day periodicity. Circulating neutrophils vary between almost normal numbers and zero. During intervals of neutropenia, affected individuals are at risk for opportunistic infection. Monocytes, platelets, lymphocytes and reticulocytes also cycle with the same frequency. {ECO:0000269|PubMed:10581030, ECO:0000269|PubMed:11001877, ECO:0000269|PubMed:14962902, ECO:0000269|PubMed:23463630}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Neutropenia, severe congenital 1, autosomal dominant (SCN1) [MIM:202700]: A disorder of hematopoiesis characterized by maturation arrest of granulopoiesis at the level of promyelocytes with peripheral blood absolute neutrophil counts below 0.5 x 10(9)/l and early onset of severe bacterial infections. {ECO:0000269|PubMed:11001877, ECO:0000269|PubMed:11675333, ECO:0000269|PubMed:12091371, ECO:0000269|PubMed:14962902, ECO:0000269|PubMed:17436313, ECO:0000269|PubMed:18946670, ECO:0000269|PubMed:19036076, ECO:0000269|PubMed:19415009, ECO:0000269|PubMed:19927291, ECO:0000269|PubMed:20220065, ECO:0000269|PubMed:20803142, ECO:0000269|PubMed:21425445, ECO:0000269|PubMed:23463630}. Note=The disease is caused by mutations affecting the gene represented in this entry.	486;2686;
Q15717	ELAVL1		
Q12926	ELAVL2		
P26378	ELAVL4		
P32519	ELF1		
Q15723	ELF2		
P78545	ELF3		
Q99607	ELF4	DISEASE: Note=A chromosomal aberration involving ELF4 has been found in a case of acute myeloid leukemia (AML). Translocation t(X;21)(q25-26;q22) with ERG. {ECO:0000269|PubMed:16303180}.	632;
Q9UKW6	ELF5		
P0C7U0	ELFN1		
P19419	ELK1		
P41970	ELK3		
P28324	ELK4		
P55199	ELL	DISEASE: Note=A chromosomal aberration involving ELL is found in acute leukemias. Translocation t(11;19)(q23;p13.1) with KMT2A/MLL1. The result is a rogue activator protein. {ECO:0000269|PubMed:7991593}.	
O00472	ELL2		
Q9HB65	ELL3		
Q92556	ELMO1		
Q96JJ3	ELMO2	DISEASE: Vascular malformation, primary intraosseous (VMOS) [MIM:606893]: A rare malformation characterized by non-neoplastic severe expansions of blood vessels, usually seen in the vertebral column and in the skull. The most commonly affected bones in the skull are the mandible and the maxilla, and life-threatening bleeding after a simple tooth extraction is frequently observed. Inheritance is autosomal recessive. {ECO:0000269|PubMed:27476657}. Note=The disease is caused by mutations affecting the gene represented in this entry.	
Q96BJ8	ELMO3		
Q8N336	ELMOD1		
Q8IZ81	ELMOD2		
Q96FG2	ELMOD3	DISEASE: Deafness, autosomal recessive, 88 (DFNB88) [MIM:615429]: A form of non-syndromic deafness characterized by prelingual onset of severe to profound mixed conductive and sensorineural hearing loss. {ECO:0000269|PubMed:24039609}. Note=The disease is caused by mutations affecting the gene represented in this entry.	90636;
Q6PJG2	ELMSAN1		
