Entry	Entry_name	Gene_names
D9ZGF2	D9ZGF2_HUMAN	COL6A3
D9ZGG0	D9ZGG0_HUMAN	TBX1
E0XEN6	E0XEN6_HUMAN	FOXI1
E0YMJ6	E0YMJ6_HUMAN	HNF1B
E1CEI4	E1CEI4_HUMAN	GCLC
E1U0S6	E1U0S6_HUMAN	UTX
E2J6M5	E2J6M5_HUMAN	DOCK8
E2J6M6	E2J6M6_HUMAN	DOCK8
E2QRB3	E2QRB3_HUMAN	PYCR1
E5KLJ9	E5KLJ9_HUMAN	OPA1
E5KLK0	E5KLK0_HUMAN	OPA1
E5KMT5	E5KMT5_HUMAN	
E5KMT6	E5KMT6_HUMAN	
E5KND5	E5KND5_HUMAN	GFM1
E5KNH5	E5KNH5_HUMAN	NDUFV1
E5KNU5	E5KNU5_HUMAN	POLG
E5KNY5	E5KNY5_HUMAN	LRPPRC
E5KP25	E5KP25_HUMAN	MUTYH
E5KP26	E5KP26_HUMAN	MUTYH
E5KP27	E5KP27_HUMAN	MUTYH
E5KP28	E5KP28_HUMAN	MUTYH
E5KPM5	E5KPM5_HUMAN	OGG1
E5KPM6	E5KPM6_HUMAN	OGG1
E5KPM7	E5KPM7_HUMAN	OGG1
E5KPM8	E5KPM8_HUMAN	OGG1
E5KPM9	E5KPM9_HUMAN	OGG1
E5KPN0	E5KPN0_HUMAN	OGG1
E5KPN1	E5KPN1_HUMAN	OGG1
E5KQF5	E5KQF5_HUMAN	NR3C1
E5KQF6	E5KQF6_HUMAN	NR3C1
E5KR05	E5KR05_HUMAN	
E5KR06	E5KR06_HUMAN	
E5KR07	E5KR07_HUMAN	DMPK
E5KRG5	E5KRG5_HUMAN	TYMP
E5KRK5	E5KRK5_HUMAN	NDUFS1
E5KRP5	E5KRP5_HUMAN	SPAST
E5KRP6	E5KRP6_HUMAN	SPAST
E5KRX5	E5KRX5_HUMAN	SURF1
E5KS15	E5KS15_HUMAN	POLG2
E5KS60	E5KS60_HUMAN	SUCLA2
E5KS95	E5KS95_HUMAN	TSFM
E5KSD5	E5KSD5_HUMAN	ACADS
E5KSL5	E5KSL5_HUMAN	DGUOK
E5KSL6	E5KSL6_HUMAN	hCG_40733
E5KSY5	E5KSY5_HUMAN	
E5KTA5	E5KTA5_HUMAN	UNG
E5KTA6	E5KTA6_HUMAN	UNG
E7DBM8	E7DBM8_HUMAN	CACNB4
E7EMG0	E7EMG0_HUMAN	PCDH15
E7EN11	E7EN11_HUMAN	CACNB4
E7EN65	E7EN65_HUMAN	ELN
E7ENM0	E7ENM0_HUMAN	ELN
E7EPA4	E7EPA4_HUMAN	
E7EPB1	E7EPB1_HUMAN	TET2
E7EPC8	E7EPC8_HUMAN	CTNND2
E7EQI7	E7EQI7_HUMAN	WASHC5
E7ES00	E7ES00_HUMAN	AXIN2
E7ET55	E7ET55_HUMAN	ATP7B
E7ETH0	E7ETH0_HUMAN	CFI
E7ETY2	E7ETY2_HUMAN	TCOF1
E7ETZ0	E7ETZ0_HUMAN	CALM1
E7EUY1	E7EUY1_HUMAN	IFNGR2
E7EWK1	E7EWK1_HUMAN	TXNRD2
P16112	PGCA_HUMAN	ACAN
E9KL23	E9KL23_HUMAN	SERPINA1
E9KL26	E9KL26_HUMAN	SERPING1
E9KL36	E9KL36_HUMAN	HEL111
E9KL37	E9KL37_HUMAN	OFD1
E9KL44	E9KL44_HUMAN	
E9KL48	E9KL48_HUMAN	GLUD1
E9PBP6	E9PBP6_HUMAN	MTTP
E9PCN4	E9PCN4_HUMAN	EVC
E9PCR7	E9PCR7_HUMAN	OGDH
E9PCX7	E9PCX7_HUMAN	NNT
E9PDC3	E9PDC3_HUMAN	ARVCF
E9PDF2	E9PDF2_HUMAN	OGDH
E9PDL2	E9PDL2_HUMAN	DPP6
E9PEH6	E9PEH6_HUMAN	SGCE
E9PEJ1	E9PEJ1_HUMAN	CD96
E9PEX6	E9PEX6_HUMAN	DLD
E9PF18	E9PF18_HUMAN	HADH
E9PF59	E9PF59_HUMAN	DPP6
E9PFD3	E9PFD3_HUMAN	
E9PFH7	E9PFH7_HUMAN	MAPK8IP3
E9PG18	E9PG18_HUMAN	SCN5A
E9PG40	E9PG40_HUMAN	APP
E9PHA6	E9PHA6_HUMAN	MSH2
E9PHB6	E9PHB6_HUMAN	SCN5A
E9PHE4	E9PHE4_HUMAN	CRYAA
E9PHF7	E9PHF7_HUMAN	MCCC1
E9PHH0	E9PHH0_HUMAN	MBD5
E9PJK1	E9PJK1_HUMAN	CD81
E9PJX4	E9PJX4_HUMAN	FGD4
E9PJX5	E9PJX5_HUMAN	BLK
E9PK12	E9PK12_HUMAN	FUZ
E9PLD1	E9PLD1_HUMAN	SCP2
E9PLN6	E9PLN6_HUMAN	EYA4
E9PLT1	E9PLT1_HUMAN	CD36
E9PMR6	E9PMR6_HUMAN	ARHGEF12
E9PP49	E9PP49_HUMAN	COL8A2
E9PRX9	E9PRX9_HUMAN	KIRREL3
E9PSF2	E9PSF2_HUMAN	STIL
E9PSF9	E9PSF9_HUMAN	SLC16A12
F1D8N4	F1D8N4_HUMAN	NR3C1
F1D8N5	F1D8N5_HUMAN	NR3C4
F1D8N7	F1D8N7_HUMAN	NR1A2
F1D8N9	F1D8N9_HUMAN	NR1B1
F1D8P4	F1D8P4_HUMAN	NR0B1
F1D8P8	F1D8P8_HUMAN	NR1i1
F1D8Q9	F1D8Q9_HUMAN	NR2E3
F1D8R8	F1D8R8_HUMAN	NR5A1
F1D8S2	F1D8S2_HUMAN	NR2A1
F1D8S6	F1D8S6_HUMAN	NR1B2
F1D8T0	F1D8T0_HUMAN	NR2A1
F1D8T1	F1D8T1_HUMAN	NR2A1
F1T0B5	F1T0B5_HUMAN	AIPL1
F1T0B6	F1T0B6_HUMAN	AIPL1
F1T0C0	F1T0C0_HUMAN	AIPL1
F1T0C4	F1T0C4_HUMAN	AIPL1
F1T0C9	F1T0C9_HUMAN	OTX2
F1T0D0	F1T0D0_HUMAN	OTX2
F1T0D1	F1T0D1_HUMAN	OTX2
F1T0D5	F1T0D5_HUMAN	LHX3
F1T0D7	F1T0D7_HUMAN	LHX3
F1T0D9	F1T0D9_HUMAN	LHX3
F1T0F8	F1T0F8_HUMAN	PAX6
F1T0I9	F1T0I9_HUMAN	TULP1
F1T0J1	F1T0J1_HUMAN	GDF5
F1T0J3	F1T0J3_HUMAN	IMPG2
F1T0J4	F1T0J4_HUMAN	HMX1
F1T0K2	F1T0K2_HUMAN	CABP2
F1T0L2	F1T0L2_HUMAN	CDHR1
F2Z2Y1	F2Z2Y1_HUMAN	EYA4
F5CTF3	F5CTF3_HUMAN	
F5GWI4	F5GWI4_HUMAN	ADA
F5GWT4	F5GWT4_HUMAN	WNK1
F5GX71	F5GX71_HUMAN	MPI
F5GX88	F5GX88_HUMAN	ENG
F5GXA0	F5GXA0_HUMAN	SUMF1
F5GYI5	F5GYI5_HUMAN	KRT85
F5GYK4	F5GYK4_HUMAN	
F5GYM4	F5GYM4_HUMAN	SH2B3
F5GYY5	F5GYY5_HUMAN	ARSE
F5GZB4	F5GZB4_HUMAN	LOXHD1
F5GZG6	F5GZG6_HUMAN	TPK1
F5GZQ3	F5GZQ3_HUMAN	HADHB
F5H008	F5H008_HUMAN	VPS33B
F5H0L2	F5H0L2_HUMAN	CRB1
F5H127	F5H127_HUMAN	SLC24A1
F5H1T4	F5H1T4_HUMAN	ERBB2
F5H2A4	F5H2A4_HUMAN	HMGA2
F5H324	F5H324_HUMAN	ARSE
F5H3Q5	F5H3Q5_HUMAN	COL4A6
F5H483	F5H483_HUMAN	SLC24A1
F5H5A1	F5H5A1_HUMAN	ACSF3
F5H5R8	F5H5R8_HUMAN	NAT1
F5H5V6	F5H5V6_HUMAN	KDM6A
F5H6C2	F5H6C2_HUMAN	IFT88
F5H6H0	F5H6H0_HUMAN	HMGA2
F5H6I0	F5H6I0_HUMAN	B2M
F5H6S1	F5H6S1_HUMAN	KDM6A
F5H7C2	F5H7C2_HUMAN	CRADD
F5H7S1	F5H7S1_HUMAN	ZNF423
F5H7S3	F5H7S3_HUMAN	TPM1
F5H7W1	F5H7W1_HUMAN	DCAF17
F5H851	F5H851_HUMAN	COL4A6
F5H8H2	F5H8H2_HUMAN	MVK
F6KD01	F6KD01_HUMAN	PTEN
F7VJQ1	APRIO_HUMAN	PRNP
F8VBW7	F8VBW7_HUMAN	MAK
F8VNR3	F8VNR3_HUMAN	TGFA
F8W1R0	F8W1R0_HUMAN	FGD4
F8W6L1	F8W6L1_HUMAN	THPO
F8W7U8	F8W7U8_HUMAN	MRE11
F8W7W8	F8W7W8_HUMAN	HFE
F8W876	F8W876_HUMAN	MASP1
F8W8R6	F8W8R6_HUMAN	KDM6A
F8W8U5	F8W8U5_HUMAN	
F8W9A3	F8W9A3_HUMAN	JPH3
F8WB53	F8WB53_HUMAN	EYA1
F8WC24	F8WC24_HUMAN	WISP3
F8WE88	F8WE88_HUMAN	MYO5A
F8WEZ8	F8WEZ8_HUMAN	GRIK2
G0XQ39	G0XQ39_HUMAN	STIM1
G0Z349	G0Z349_HUMAN	IRF6
G1UI26	G1UI26_HUMAN	NBAS
G1UI30	G1UI30_HUMAN	KIF1A
G3V0G6	G3V0G6_HUMAN	ELN
G3V144	G3V144_HUMAN	SH3PXD2B
G3V150	G3V150_HUMAN	B3GAT3
G3V1K2	G3V1K2_HUMAN	RXYLT1
G3V1S1	G3V1S1_HUMAN	ERCC3
G3V394	G3V394_HUMAN	MYO5A
G3V3E8	G3V3E8_HUMAN	NPC2
G3XA89	G3XA89_HUMAN	MDM2
G3XAG3	G3XAG3_HUMAN	CDKN2A
G3XAI7	G3XAI7_HUMAN	
G3XAM2	G3XAM2_HUMAN	CFI
G4XXL9	G4XXL9_HUMAN	CYCS
G5E950	G5E950_HUMAN	ELN
G5E972	G5E972_HUMAN	TMPO
G5E9C8	G5E9C8_HUMAN	SOS1
G5E9G4	G5E9G4_HUMAN	TTC7A
G5E9V5	G5E9V5_HUMAN	MRPS22
G8IFA7	G8IFA7_HUMAN	
G8JLD5	G8JLD5_HUMAN	DNM1L
G8JLE9	G8JLE9_HUMAN	
H0UI22	H0UI22_HUMAN	RARSL
H0YIS1	H0YIS1_HUMAN	COL11A2
H0YKC8	H0YKC8_HUMAN	CIB2
H0YL22	H0YL22_HUMAN	NDUFAF1
H0YLB0	H0YLB0_HUMAN	PBX1
H0YNU5	H0YNU5_HUMAN	BLM
H2EHT1	H2EHT1_HUMAN	TP53
H3BNM8	H3BNM8_HUMAN	USB1
H3BPP3	H3BPP3_HUMAN	MPI
H3BRF5	H3BRF5_HUMAN	
H3BTP3	H3BTP3_HUMAN	TCF4
H3BV03	H3BV03_HUMAN	RPGRIP1L
H6SG14	H6SG14_HUMAN	COX4I2
H6UYS5	H6UYS5_HUMAN	SNCA
H7BYT1	H7BYT1_HUMAN	CSNK1D
H7BYY1	H7BYY1_HUMAN	TPM1
H9KVD2	H9KVD2_HUMAN	SCN5A
H9ME53	H9ME53_HUMAN	TRDN
H9NAJ7	H9NAJ7_HUMAN	DNAH11
H9NAJ8	H9NAJ8_HUMAN	DNAH11
H9U1J4	H9U1J4_HUMAN	GJB2
I1SRC5	I1SRC5_HUMAN	
I1W660	I1W660_HUMAN	DKK1
I1Z9G4	I1Z9G4_HUMAN	PFKFB1
I3L2R1	I3L2R1_HUMAN	B9D1
I3L4Z6	I3L4Z6_HUMAN	GOSR2
I3WAC9	I3WAC9_HUMAN	INS
I4AY87	I4AY87_HUMAN	MIF
I6L968	I6L968_HUMAN	WISP3
I6L989	I6L989_HUMAN	DMPK
I6L9H2	I6L9H2_HUMAN	DNMT1
I6L9J2	I6L9J2_HUMAN	TTC7A
I6LPK7	I6LPK7_HUMAN	BAX
I6QTG3	I6QTG3_HUMAN	GPC3
J3KN67	J3KN67_HUMAN	TPM3
J3KNI1	J3KNI1_HUMAN	COG4
J3KNN3	J3KNN3_HUMAN	PHKG2
J3KNV4	J3KNV4_HUMAN	ITGA7
J3KNW4	J3KNW4_HUMAN	FHL2
J3KPG6	J3KPG6_HUMAN	PSTPIP1
J3KPH2	J3KPH2_HUMAN	ALOXE3
J3KPK1	J3KPK1_HUMAN	SYNJ1
J3KPY9	J3KPY9_HUMAN	ANTXR2
J3KQT5	J3KQT5_HUMAN	
J3KQV8	J3KQV8_HUMAN	SYNJ1
J3KR83	J3KR83_HUMAN	CORIN
J3KSW1	J3KSW1_HUMAN	PIK3R5
J3QL32	J3QL32_HUMAN	PYCR1
J3QLU9	J3QLU9_HUMAN	ERBB2
J3QSS1	J3QSS1_HUMAN	SLC12A3
J3QSY4	J3QSY4_HUMAN	NHP2
J3QSZ6	J3QSZ6_HUMAN	TMEM138
J3QW43	J3QW43_HUMAN	MPDU1
J9JIE6	J9JIE6_HUMAN	TMCO1
K0A6P4	K0A6P4_HUMAN	SLC52A3
K4DI93	K4DI93_HUMAN	CUL4B
K4DIA1	K4DIA1_HUMAN	SCN5A
K4PZ75	K4PZ75_HUMAN	LNIR
K7ELL7	K7ELL7_HUMAN	PRKCSH
K7EQG9	K7EQG9_HUMAN	PTPN2
K7ERB6	K7ERB6_HUMAN	PSMC3IP
K7PML8	K7PML8_HUMAN	CDKN2A
K7PPA8	K7PPA8_HUMAN	TP53
K7PPU3	K7PPU3_HUMAN	CDKN2B
K7X1S0	K7X1S0_HUMAN	DIABLO
L7RRS6	L7RRS6_HUMAN	RAF1
L7RSL8	L7RSL8_HUMAN	KRAS
L7RT34	L7RT34_HUMAN	PIK3R5
L8B082	L8B082_HUMAN	TYR
L8B8N7	L8B8N7_HUMAN	Fam20A
M0QYZ2	M0QYZ2_HUMAN	AP2S1
M0R0N4	M0R0N4_HUMAN	AP2S1
M9MML4	M9MML4_HUMAN	PTPRC
O00116	ADAS_HUMAN	AGPS
O00139	KIF2A_HUMAN	KIF2A
O00142	KITM_HUMAN	TK2
O00165	HAX1_HUMAN	HAX1
O00170	AIP_HUMAN	AIP
O00189	AP4M1_HUMAN	AP4M1
O00192	ARVC_HUMAN	ARVCF
O00203	AP3B1_HUMAN	AP3B1
O00217	NDUS8_HUMAN	NDUFS8
O00238	BMR1B_HUMAN	BMPR1B
O00255	MEN1_HUMAN	MEN1
O00287	RFXAP_HUMAN	RFXAP
O00294	TULP1_HUMAN	TULP1
O00300	TR11B_HUMAN	TNFRSF11B
O00305	CACB4_HUMAN	CACNB4
O00330	ODPX_HUMAN	PDHX
O00358	FOXE1_HUMAN	FOXE1
O00400	ACATN_HUMAN	SLC33A1
O00429	DNM1L_HUMAN	DNM1L
O00459	P85B_HUMAN	PIK3R2
O00462	MANBA_HUMAN	MANBA
O00468	AGRIN_HUMAN	AGRN
O00469	PLOD2_HUMAN	PLOD2
O00499	BIN1_HUMAN	BIN1
O00507	USP9Y_HUMAN	USP9Y
O00522	KRIT1_HUMAN	KRIT1
O00555	CAC1A_HUMAN	CACNA1A
O00567	NOP56_HUMAN	NOP56
O00584	RNT2_HUMAN	RNASET2
O00623	PEX12_HUMAN	PEX12
O00628	PEX7_HUMAN	PEX7
O00744	WN10B_HUMAN	WNT10B
O00754	MA2B1_HUMAN	MAN2B1
O00755	WNT7A_HUMAN	WNT7A
O14497	ARI1A_HUMAN	ARID1A
O14521	DHSD_HUMAN	SDHD
O14593	RFXK_HUMAN	RFXANK
O14647	CHD2_HUMAN	CHD2
O14653	GOSR2_HUMAN	GOSR2
O14656	TOR1A_HUMAN	TOR1A
O14662	STX16_HUMAN	STX16
O14678	ABCD4_HUMAN	ABCD4
O14686	KMT2D_HUMAN	KMT2D
O14745	NHRF1_HUMAN	SLC9A3R1
O14746	TERT_HUMAN	TERT
O14763	TR10B_HUMAN	TNFRSF10B
O14773	TPP1_HUMAN	TPP1
O14788	TNF11_HUMAN	TNFSF11
O14791	APOL1_HUMAN	APOL1
O14793	GDF8_HUMAN	MSTN
O14802	RPC1_HUMAN	POLR3A
O14813	PHX2A_HUMAN	PHOX2A
O14832	PAHX_HUMAN	PHYH
O14836	TR13B_HUMAN	TNFRSF13B
O14841	OPLA_HUMAN	OPLAH
O14874	BCKD_HUMAN	BCKDK
O14896	IRF6_HUMAN	IRF6
O14901	KLF11_HUMAN	KLF11
O14926	FSCN2_HUMAN	FSCN2
O14936	CSKP_HUMAN	CASK
O14949	QCR8_HUMAN	UQCRQ
O14958	CASQ2_HUMAN	CASQ2
O14983	AT2A1_HUMAN	ATP2A1
O15013	ARHGA_HUMAN	ARHGEF10
O15020	SPTN2_HUMAN	SPTBN2
O15040	TCPR2_HUMAN	TECPR2
O15041	SEM3E_HUMAN	SEMA3E
O15055	PER2_HUMAN	PER2
O15078	CE290_HUMAN	CEP290
O15111	IKKA_HUMAN	CHUK
O15118	NPC1_HUMAN	NPC1
O15119	TBX3_HUMAN	TBX3
O15120	PLCB_HUMAN	AGPAT2
O15146	MUSK_HUMAN	MUSK
O15160	RPAC1_HUMAN	POLR1C
O15164	TIF1A_HUMAN	TRIM24
O15169	AXIN1_HUMAN	AXIN1
O15198	SMAD9_HUMAN	SMAD9
O15228	GNPAT_HUMAN	GNPAT
O15232	MATN3_HUMAN	MATN3
O15239	NDUA1_HUMAN	NDUFA1
O15247	CLIC2_HUMAN	CLIC2
O15259	NPHP1_HUMAN	NPHP1
O15265	ATX7_HUMAN	ATXN7
O15266	SHOX_HUMAN	SHOX
O15269	SPTC1_HUMAN	SPTLC1
O15270	SPTC2_HUMAN	SPTLC2
O15273	TELT_HUMAN	TCAP
O15287	FANCG_HUMAN	FANCG
O15297	PPM1D_HUMAN	PPM1D
O15303	GRM6_HUMAN	GRM6
O15305	PMM2_HUMAN	PMM2
O15344	TRI18_HUMAN	MID1
O15353	FOXN1_HUMAN	FOXN1
O15357	SHIP2_HUMAN	INPPL1
O15360	FANCA_HUMAN	FANCA
O15409	FOXP2_HUMAN	FOXP2
O15513	O15513_HUMAN	
O15520	FGF10_HUMAN	FGF10
O15527	OGG1_HUMAN	OGG1
O15528	CP27B_HUMAN	CYP27B1
O15533	TPSN_HUMAN	TAPBP
O15537	XLRS1_HUMAN	RS1
O15550	KDM6A_HUMAN	KDM6A
O15553	MEFV_HUMAN	MEFV
O43167	ZBT24_HUMAN	ZBTB24
O43175	SERA_HUMAN	PHGDH
O43181	NDUS4_HUMAN	NDUFS4
O43186	CRX_HUMAN	CRX
O43272	PROD_HUMAN	PRODH
O43280	TREA_HUMAN	TREH
O43291	SPIT2_HUMAN	SPINT2
O43299	AP5Z1_HUMAN	AP5Z1
O43307	ARHG9_HUMAN	ARHGEF9
O43316	PAX4_HUMAN	PAX4
O43320	FGF16_HUMAN	FGF16
O43323	DHH_HUMAN	DHH
O43364	HXA2_HUMAN	HOXA2
O43379	WDR62_HUMAN	WDR62
O43395	PRPF3_HUMAN	PRPF3
O43405	COCH_HUMAN	COCH
O43426	SYNJ1_HUMAN	SYNJ1
O43435	TBX1_HUMAN	TBX1
O43462	MBTP2_HUMAN	MBTPS2
O43464	HTRA2_HUMAN	HTRA2
O43490	PROM1_HUMAN	PROM1
O43502	RA51C_HUMAN	RAD51C
O43505	B4GA1_HUMAN	B4GAT1
O43508	TNF12_HUMAN	TNFSF12
O43511	S26A4_HUMAN	SLC26A4
O43516	WIPF1_HUMAN	WIPF1
O43520	AT8B1_HUMAN	ATP8B1
O43525	KCNQ3_HUMAN	KCNQ3
O43526	KCNQ2_HUMAN	KCNQ2
O43541	SMAD6_HUMAN	SMAD6
O43548	TGM5_HUMAN	TGM5
O43556	SGCE_HUMAN	SGCE
O43570	CAH12_HUMAN	CA12
O43586	PPIP1_HUMAN	PSTPIP1
O43593	HAIR_HUMAN	HR
O43602	DCX_HUMAN	DCX
O43612	OREX_HUMAN	HCRT
O43623	SNAI2_HUMAN	SNAI2
O43676	NDUB3_HUMAN	NDUFB3
O43678	NDUA2_HUMAN	NDUFA2
O43683	BUB1_HUMAN	BUB1
O43684	BUB3_HUMAN	BUB3
O43707	ACTN4_HUMAN	ACTN4
O43734	CIKS_HUMAN	TRAF3IP2
O43766	LIAS_HUMAN	LIAS
O43772	MCAT_HUMAN	SLC25A20
O43790	KRT86_HUMAN	KRT86
O43819	SCO2_HUMAN	SCO2
O43826	G6PT1_HUMAN	SLC37A4
O43837	IDH3B_HUMAN	IDH3B
O43897	TLL1_HUMAN	TLL1
O43914	TYOBP_HUMAN	TYROBP
O43918	AIRE_HUMAN	AIRE
O43929	ORC4_HUMAN	ORC4
O43933	PEX1_HUMAN	PEX1
O60216	RAD21_HUMAN	RAD21
O60220	TIM8A_HUMAN	TIMM8A
O60240	PLIN1_HUMAN	PLIN1
O60243	H6ST1_HUMAN	HS6ST1
O60258	FGF17_HUMAN	FGF17
O60260	PRKN_HUMAN	PRKN
O60282	KIF5C_HUMAN	KIF5C
O60313	OPA1_HUMAN	OPA1
O60315	ZEB2_HUMAN	ZEB2
O60331	PI51C_HUMAN	PIP5K1C
O60333	KIF1B_HUMAN	KIF1B
O60353	FZD6_HUMAN	FZD6
O60393	NOBOX_HUMAN	NOBOX
O60443	GSDME_HUMAN	GSDME
O60479	DLX3_HUMAN	DLX3
O60481	ZIC3_HUMAN	ZIC3
O60488	ACSL4_HUMAN	ACSL4
O60494	CUBN_HUMAN	CUBN
O60500	NPHN_HUMAN	NPHS1
O60566	BUB1B_HUMAN	BUB1B
O60568	PLOD3_HUMAN	PLOD3
O60610	DIAP1_HUMAN	DIAPH1
O60663	LMX1B_HUMAN	LMX1B
O60674	JAK2_HUMAN	JAK2
O60683	PEX10_HUMAN	PEX10
O60687	SRPX2_HUMAN	SRPX2
O60706	ABCC9_HUMAN	ABCC9
O60721	NCKX1_HUMAN	SLC24A1
O60733	PLPL9_HUMAN	PLA2G6
O60762	DPM1_HUMAN	DPM1
O60779	S19A2_HUMAN	SLC19A2
O60806	TBX19_HUMAN	TBX19
O60828	PQBP1_HUMAN	PQBP1
O60832	DKC1_HUMAN	DKC1
O60840	CAC1F_HUMAN	CACNA1F
O60879	DIAP2_HUMAN	DIAPH2
O60880	SH21A_HUMAN	SH2D1A
O60882	MMP20_HUMAN	MMP20
O60890	OPHN1_HUMAN	OPHN1
O60928	KCJ13_HUMAN	KCNJ13
O60931	CTNS_HUMAN	CTNS
O60934	NBN_HUMAN	NBN
O60936	NOL3_HUMAN	NOL3
O60938	KERA_HUMAN	KERA
O75027	ABCB7_HUMAN	ABCB7
O75030	MITF_HUMAN	MITF
O75061	AUXI_HUMAN	DNAJC6
O75072	FKTN_HUMAN	FKTN
O75096	LRP4_HUMAN	LRP4
O75112	LDB3_HUMAN	LDB3
O75140	DEPD5_HUMAN	DEPDC5
O75147	OBSL1_HUMAN	OBSL1
O75161	NPHP4_HUMAN	NPHP4
O75190	DNJB6_HUMAN	DNAJB6
O75197	LRP5_HUMAN	LRP5
O75208	COQ9_HUMAN	COQ9
O75251	NDUS7_HUMAN	NDUFS7
O75298	RTN2_HUMAN	RTN2
O75306	NDUS2_HUMAN	NDUFS2
O75342	LX12B_HUMAN	ALOX12B
O75352	MPU1_HUMAN	MPDU1
O75360	PROP1_HUMAN	PROP1
O75364	PITX3_HUMAN	PITX3
O75369	FLNB_HUMAN	FLNB
O75380	NDUS6_HUMAN	NDUFS6
O75381	PEX14_HUMAN	PEX14
O75443	TECTA_HUMAN	TECTA
O75444	MAF_HUMAN	MAF
O75445	USH2A_HUMAN	USH2A
O75462	CRLF1_HUMAN	CRLF1
O75489	NDUS3_HUMAN	NDUFS3
O75503	CLN5_HUMAN	CLN5
O75531	BAF_HUMAN	BANF1
O75533	SF3B1_HUMAN	SF3B1
O75558	STX11_HUMAN	STX11
O75569	PRKRA_HUMAN	PRKRA
O75603	GCM2_HUMAN	GCM2
O75612	O75612_HUMAN	
O75631	UPK3A_HUMAN	UPK3A
O75636	FCN3_HUMAN	FCN3
O75643	U520_HUMAN	SNRNP200
O75648	MTU1_HUMAN	TRMU
O75665	OFD1_HUMAN	OFD1
O75695	XRP2_HUMAN	RP2
O75712	CXB3_HUMAN	GJB3
O75718	CRTAP_HUMAN	CRTAP
O75746	CMC1_HUMAN	SLC25A12
O75762	TRPA1_HUMAN	TRPA1
O75787	RENR_HUMAN	ATP6AP2
O75792	RNH2A_HUMAN	RNASEH2A
O75800	ZMY10_HUMAN	ZMYND10
O75838	CIB2_HUMAN	CIB2
O75844	FACE1_HUMAN	ZMPSTE24
O75845	SC5D_HUMAN	SC5D
O75881	CP7B1_HUMAN	CYP7B1
O75914	PAK3_HUMAN	PAK3
O75916	RGS9_HUMAN	RGS9
O75923	DYSF_HUMAN	DYSF
O75970	MPDZ_HUMAN	MPDZ
O76024	WFS1_HUMAN	WFS1
O76039	CDKL5_HUMAN	CDKL5
O76082	S22A5_HUMAN	SLC22A5
O76090	BEST1_HUMAN	BEST1
O76094	SRP72_HUMAN	SRP72
O94761	RECQ4_HUMAN	RECQL4
O94766	B3GA3_HUMAN	B3GAT3
O94777	DPM2_HUMAN	DPM2
O94827	PKHG5_HUMAN	PLEKHG5
O94830	DDHD2_HUMAN	DDHD2
O94898	LRIG2_HUMAN	LRIG2
O94905	ERLN2_HUMAN	ERLIN2
O94906	PRP6_HUMAN	PRPF6
O94907	DKK1_HUMAN	DKK1
O94972	TRI37_HUMAN	TRIM37
O94986	CE152_HUMAN	CEP152
O95065	O95065_HUMAN	
O95073	FSBP_HUMAN	FSBP
O95076	ALX3_HUMAN	ALX3
O95140	MFN2_HUMAN	MFN2
O95163	ELP1_HUMAN	ELP1
O95237	LRAT_HUMAN	LRAT
O95248	MTMR5_HUMAN	SBF1
O95255	MRP6_HUMAN	ABCC6
O95263	PDE8B_HUMAN	PDE8B
O95278	EPM2A_HUMAN	EPM2A
O95292	VAPB_HUMAN	VAPB
O95299	NDUAA_HUMAN	NDUFA10
O95327	O95327_HUMAN	
O95340	PAPS2_HUMAN	PAPSS2
O95342	ABCBB_HUMAN	ABCB11
O95343	SIX3_HUMAN	SIX3
O95363	SYFM_HUMAN	FARS2
O95389	WISP3_HUMAN	WISP3
O95409	ZIC2_HUMAN	ZIC2
O95427	PIGN_HUMAN	PIGN
O95436	NPT2B_HUMAN	SLC34A2
O95450	ATS2_HUMAN	ADAMTS2
O95452	CXB6_HUMAN	GJB6
O95461	LARG1_HUMAN	LARGE1
O95467	GNAS3_HUMAN	GNAS
O95475	SIX6_HUMAN	SIX6
O95477	ABCA1_HUMAN	ABCA1
O95479	G6PE_HUMAN	H6PD
O95500	CLD14_HUMAN	CLDN14
O95528	GTR10_HUMAN	SLC2A10
O95571	ETHE1_HUMAN	ETHE1
O95613	PCNT_HUMAN	PCNT
O95622	ADCY5_HUMAN	ADCY5
O95630	STABP_HUMAN	STAMBP
O95672	ECEL1_HUMAN	ECEL1
O95677	EYA4_HUMAN	EYA4
O95680	O95680_HUMAN	XB
O95681	O95681_HUMAN	XB
O95718	ERR2_HUMAN	ESRRB
O95721	SNP29_HUMAN	SNAP29
O95817	BAG3_HUMAN	BAG3
O95822	DCMC_HUMAN	MLYCD
O95831	AIFM1_HUMAN	AIFM1
O95832	CLD1_HUMAN	CLDN1
O95859	TSN12_HUMAN	TSPAN12
O95876	FRITZ_HUMAN	WDPCP
O95932	TGM3L_HUMAN	TGM6
O95954	FTCD_HUMAN	FTCD
O95967	FBLN4_HUMAN	EFEMP2
O95970	LGI1_HUMAN	LGI1
O95972	BMP15_HUMAN	BMP15
O95999	BCL10_HUMAN	BCL10
O96011	PX11B_HUMAN	PEX11B
O96017	CHK2_HUMAN	CHEK2
P00156	CYB_HUMAN	MT-CYB
P00167	CYB5_HUMAN	CYB5A
P00338	LDHA_HUMAN	LDHA
P00352	AL1A1_HUMAN	ALDH1A1
P00367	DHE3_HUMAN	GLUD1
P00374	DYR_HUMAN	DHFR
